Crop Name,Nitrogen (N),Phosphorus (P),Potassium (K),Temperature (°C),Humidity (%),pH,Soil Type,Required Water (mm per acre)
Rice,69,50,85,12.282465380772168,34.897192821130574,8.0,Chalky,1482
Wheat,55,26,28,28.854589076664215,61.841646039684136,8.7,Chalky,654
Rice,221,75,71,14.975242932957782,34.1736451810535,8.3,Silty,928
Soybean,274,53,75,27.427529696990632,39.38296730999377,5.6,Loamy,1043
Groundnut,271,82,49,27.484349059137813,50.24852813218784,6.0,Peaty,542
Cotton,210,38,75,30.892140095707454,50.68647733597355,6.2,Sandy,564
Wheat,224,33,84,17.092326761491293,21.685572328129492,6.0,Chalky,1376
Barley,145,76,147,29.440118004526727,72.32935767174925,6.7,Peaty,1262
Wheat,99,100,139,35.43925308386329,82.41472410582952,5.9,Loamy,1214
Rice,288,96,126,23.4908246829895,77.84792689689985,5.2,Clay,1037
Sugarcane,53,82,81,14.564372985766848,98.24024276040495,8.4,Clay,1341
Maize,191,50,53,36.19078661701115,35.097598816353475,7.8,Peaty,622
Sugarcane,89,22,73,39.52354382801343,30.5282130230548,4.5,Clay,667
Millets,290,37,42,14.457855366476,34.888941801483746,5.6,Clay,658
Barley,276,86,35,21.783330435672042,90.88203157143242,5.9,Peaty,637
Wheat,160,76,110,32.88711774855179,52.733028435266974,6.8,Chalky,902
Wheat,126,38,109,37.03714983133333,29.368095849740364,6.7,Loamy,1030
Maize,235,20,144,30.809526249915375,73.50321569432082,8.3,Peaty,767
Rice,52,55,92,12.106696459216845,88.5071267967915,7.7,Clay,404
Millets,285,38,52,38.61307764693271,20.834347929353882,4.6,Chalky,814
Cotton,221,70,72,26.161126141187417,45.26282394212822,7.5,Loamy,846
Cotton,60,46,147,19.84508643685386,21.425784833514292,8.5,Loamy,488
Pulses,217,68,131,34.11975681198173,52.13148527251172,9.0,Clay,1081
Groundnut,197,21,50,33.230432447191546,69.16347377614622,8.3,Peaty,528
Cotton,279,77,85,17.224622025289676,84.91015664847414,8.3,Clay,706
Soybean,182,33,108,24.407567788343247,77.61978848257124,8.4,Silty,1389
Rice,114,95,110,32.790616522577025,27.0764502434196,7.2,Peaty,1038
Millets,68,24,106,27.200029510342738,80.25866649449384,6.3,Loamy,1490
Maize,81,94,99,34.88981365205693,96.45950852460867,4.9,Sandy,830
Cotton,124,39,124,25.339554902541245,61.18058989743866,6.8,Loamy,1368
Millets,188,49,147,35.30398077518102,68.9899938172216,7.5,Sandy,320
Wheat,188,87,21,30.914318768341776,82.84797471000591,7.9,Sandy,593
Maize,240,31,127,37.37846505727766,90.62669269899074,7.3,Silty,1294
Maize,273,88,71,31.081694753993904,59.49248181431039,6.7,Clay,1237
Cotton,161,20,60,29.783387557924566,40.4470055821583,6.6,Silty,493
Cotton,212,63,93,16.263119274841905,54.17588830377443,5.9,Peaty,989
Millets,299,97,20,10.67357120225957,39.3938672371541,4.9,Sandy,320
Maize,162,87,105,23.111824204936347,76.49075691724762,5.9,Sandy,1290
Groundnut,247,31,103,18.24578999798523,48.6344024026526,6.7,Clay,890
Rice,185,67,89,28.155300338323272,34.64364986694804,7.8,Peaty,482
Rice,260,35,59,35.94099701771454,38.80478323450053,8.9,Peaty,1461
Sugarcane,208,23,106,32.74957905783928,34.93236393693102,6.9,Peaty,771
Millets,268,23,133,18.158288023406186,72.71256788393386,8.5,Chalky,1082
Millets,296,33,150,30.548079806922278,64.55383375553544,8.7,Chalky,1170
Maize,235,49,80,13.739131796233846,95.25859219239251,8.5,Clay,1245
Maize,270,47,51,28.797452259220506,60.75660611094027,7.0,Silty,1142
Soybean,150,74,70,30.990967566090816,51.071257423671426,7.7,Chalky,1259
Millets,260,49,133,11.95194468100351,33.58440737189476,9.0,Chalky,559
Groundnut,63,39,36,27.523587683040173,38.62463417588862,5.4,Silty,1342
Rice,65,41,138,30.310686611149,82.42488051682926,5.6,Clay,504
Millets,134,51,147,27.812719489768757,71.37002705356959,4.2,Loamy,1249
Groundnut,88,49,100,11.141145755619764,35.53092003195316,5.8,Peaty,313
Cotton,65,72,135,28.699302641921612,35.834222732699956,7.6,Clay,732
Cotton,111,80,86,33.747476410644,58.55809622694711,5.7,Silty,1121
Rice,195,90,47,36.95803182193943,97.80080555243734,5.8,Peaty,375
Cotton,149,73,99,17.654890045170333,95.86743753717512,8.6,Chalky,1112
Rice,67,55,77,17.37366380005668,55.1485812019411,5.7,Peaty,320
Maize,196,53,109,15.464886952459269,80.41594629654277,4.4,Loamy,1093
Sugarcane,131,26,73,32.50830869391574,45.84861906782494,4.7,Chalky,585
Soybean,173,71,125,33.279454523056174,64.47220918221032,6.1,Silty,1128
Rice,212,22,118,39.34662940891273,62.78874638719422,4.3,Chalky,1235
Pulses,196,87,124,19.292100222381976,81.36648863200175,6.3,Chalky,1160
Cotton,270,44,49,15.095321607507916,25.822798538591904,5.6,Peaty,1239
Rice,184,46,84,38.34259305524793,25.154014828176877,7.8,Silty,834
Millets,147,79,45,37.05730872452246,47.80205437834926,6.4,Peaty,714
Millets,285,42,62,20.290659466116384,67.17452834642074,8.3,Clay,822
Rice,101,63,23,23.1433714918465,39.728394805873265,6.1,Clay,509
Maize,243,91,58,38.558736528736944,33.33042373332912,7.2,Peaty,861
Groundnut,146,32,114,24.16135570556346,51.26341331304416,6.7,Peaty,1346
Barley,134,69,107,14.115308609014317,33.90866435566528,4.3,Chalky,469
Cotton,207,34,40,13.396056806354263,30.116743786299274,6.2,Chalky,684
Sugarcane,125,62,32,31.018757200774033,99.37794169727039,6.1,Silty,1240
Cotton,100,42,135,28.844162954658746,95.02404352006869,8.8,Loamy,1349
Sugarcane,248,87,46,31.37033372133991,70.33172009105465,4.1,Sandy,1093
Rice,97,99,70,29.47171586400022,48.42410217674399,8.0,Silty,424
Soybean,178,40,126,12.65868973245406,92.95092420079843,7.5,Loamy,409
Cotton,154,47,98,15.235396785009705,60.89582434669296,8.5,Silty,1197
Rice,249,90,63,39.34085635611099,79.49434508478897,6.1,Clay,984
Sugarcane,292,95,58,16.295381319983044,24.43756816959441,4.5,Clay,540
Millets,62,37,54,12.68210464520623,69.98738835099053,5.1,Sandy,713
Groundnut,255,83,134,36.12869429371572,95.15119023218608,6.9,Peaty,967
Soybean,175,48,81,10.163616595998725,63.573255305242114,7.5,Silty,526
Barley,65,68,103,17.773816013552686,27.460906887069783,4.9,Sandy,1168
Millets,85,66,124,20.844813037711624,52.66175896193337,8.8,Sandy,803
Sugarcane,156,53,65,17.636220174070367,68.4864031712133,4.5,Loamy,1157
Millets,227,59,135,12.787191842529584,52.52509314581961,7.4,Peaty,466
Barley,89,100,94,38.109374366297615,90.23684946630826,4.6,Sandy,1296
Millets,208,34,142,33.42006612377646,41.21030249560121,4.5,Silty,857
Wheat,107,56,52,31.25727735549256,59.04600736048347,6.6,Loamy,549
Pulses,217,91,81,12.968610343250667,45.318103790348154,4.6,Loamy,1488
Barley,100,43,103,39.06727707414677,74.45129013397006,5.2,Sandy,1139
Pulses,264,42,112,15.294834806212414,77.64070566738779,7.8,Sandy,1188
Pulses,290,80,33,33.235028867617046,76.88475738993719,7.3,Loamy,1033
Pulses,240,61,116,17.002768078207424,80.51263399505928,8.3,Silty,609
Millets,201,95,113,33.76744423197282,98.32200274618673,7.7,Loamy,1380
Groundnut,295,21,52,31.944912453175284,57.83826322676987,8.1,Loamy,426
Millets,55,28,128,13.379373949575879,69.00496471811168,4.7,Clay,891
Maize,224,60,125,24.412825675303544,25.42366753239037,7.9,Loamy,796
Groundnut,92,37,85,32.4184435347295,84.72592654759394,7.4,Silty,760
Maize,300,59,55,21.824183717033378,78.19740574863519,6.7,Loamy,528
Barley,105,29,20,18.48590472686832,96.24291522738078,7.8,Silty,339
Sugarcane,277,57,141,19.30868586565989,91.51344305305862,6.0,Loamy,469
Groundnut,160,23,121,17.895378877692576,81.59364488952762,5.1,Loamy,1405
Maize,264,37,131,12.628109402405688,75.32367122244341,6.2,Loamy,530
Pulses,281,80,41,31.130082494574133,72.22518222935034,5.8,Peaty,752
Soybean,129,49,150,35.18492485570923,63.832179960766986,5.8,Clay,833
Rice,245,51,66,14.57656636860521,97.98565943366047,7.6,Silty,744
Groundnut,238,90,101,25.637684232470683,22.756628779866787,7.8,Peaty,511
Wheat,64,90,147,22.111466839345816,34.60857108124179,8.9,Sandy,1308
Maize,108,68,64,12.59216964096041,86.95913884121283,6.2,Silty,1182
Cotton,148,57,90,11.340867922692677,81.6218322009195,8.6,Silty,365
Wheat,107,37,21,23.032981402659537,98.49623940329154,5.0,Chalky,733
Sugarcane,100,30,119,29.642431151576012,59.04432473647205,5.2,Peaty,1417
Sugarcane,149,81,37,32.81151846158055,33.69991801018236,7.0,Loamy,557
Millets,170,86,131,39.983167795510184,20.417905819961184,7.0,Clay,962
Groundnut,92,88,138,27.98848695933407,49.618444444566315,5.7,Loamy,357
Soybean,227,21,49,10.796523521342499,90.25073273653805,6.2,Chalky,472
Wheat,58,40,106,17.811346376997115,29.707680178823843,6.8,Silty,1078
Soybean,132,98,92,29.039826280393896,86.90923092026566,8.4,Chalky,1013
Groundnut,276,66,77,30.48501370419568,78.8123500530333,6.2,Silty,428
Wheat,76,81,45,38.6766609540751,61.64360979789152,6.1,Loamy,481
Pulses,185,30,109,21.69981778480456,29.42853251071746,7.8,Sandy,618
Millets,251,37,28,16.618320439865553,38.58096483994682,4.1,Loamy,1261
Soybean,221,82,26,18.51994743403423,29.99653066427686,7.5,Chalky,803
Maize,157,66,69,20.8549954647192,84.27757656782279,6.8,Chalky,776
Maize,112,71,149,21.958320816805298,71.7767975651808,7.6,Chalky,600
Cotton,176,100,59,18.82314132206259,23.726302462063824,6.0,Chalky,506
Cotton,64,91,96,19.66677398827166,96.71826226539176,8.6,Chalky,380
Barley,86,60,78,20.65174485811216,21.107296679205643,6.6,Silty,1294
Barley,57,95,70,30.646525019792588,28.510038258882755,4.7,Peaty,1108
Pulses,267,21,134,33.76936697363896,90.59188534566754,6.2,Silty,823
Wheat,279,62,104,24.576166465027228,71.73752685030422,5.7,Chalky,976
Maize,86,21,131,38.04859355277597,83.61370161404733,6.1,Clay,1353
Maize,298,64,145,38.03052273578324,31.815048143048017,8.0,Peaty,1150
Barley,227,57,64,36.697636518858744,40.31655875323061,4.1,Clay,702
Cotton,110,70,121,31.733098102950063,32.37221912061942,7.1,Loamy,1141
Millets,62,94,21,19.091094906937734,80.86468828465621,7.2,Chalky,888
Sugarcane,141,68,101,36.01089445766537,68.2727822941671,9.0,Clay,1474
Rice,251,28,55,33.55955607624036,92.7901679047171,5.2,Silty,583
Barley,83,72,148,23.501269818625666,52.523416810674526,7.7,Chalky,330
Soybean,233,36,39,10.46693058870559,48.90037044995998,5.9,Silty,612
Cotton,91,48,20,26.198095419156385,45.017470716140096,7.0,Loamy,1029
Millets,277,96,63,34.65477230014319,33.46340338171031,6.8,Silty,986
Rice,183,85,147,14.553125865923494,62.45707318277639,6.5,Sandy,717
Cotton,154,83,123,28.01968918314219,75.22031299719248,7.8,Peaty,1350
Soybean,195,25,70,22.676896773191448,41.41743350262173,8.1,Clay,507
Soybean,74,73,106,37.70988686236162,69.15736119060485,6.9,Sandy,1235
Maize,73,96,95,13.332407617966986,57.003633679764135,9.0,Sandy,1488
Barley,228,69,34,14.70133088772619,21.141943851008698,8.5,Chalky,687
Barley,99,46,94,22.323244661089852,20.067505711661504,4.4,Clay,757
Maize,51,99,108,17.002989661507506,31.258008382404512,6.9,Silty,649
Wheat,153,50,145,29.90483326404556,72.54009642140849,6.1,Peaty,321
Millets,97,83,117,39.88275386081904,66.62950404622086,7.9,Peaty,472
Sugarcane,186,92,25,25.05951525150978,70.46305271910299,7.9,Chalky,1375
Millets,239,65,91,20.39113277872717,90.60972289214153,7.8,Chalky,634
Groundnut,225,53,129,33.251215248288005,60.65447133625993,4.0,Peaty,1136
Millets,79,44,85,37.913042881993874,99.99019672832203,8.8,Loamy,636
Cotton,102,70,128,35.569720952656354,83.65456378230137,8.5,Sandy,1130
Rice,282,23,79,14.403322675497533,84.07457167923822,8.7,Clay,1197
Barley,89,74,50,22.55304354025511,61.40127691136534,7.2,Chalky,623
Maize,230,78,123,39.914151573888915,21.62027269843997,5.0,Peaty,1089
Pulses,297,44,134,15.69007446753613,22.101694356659742,6.4,Clay,609
Barley,125,92,147,37.4416314762302,89.75651387137601,5.5,Loamy,500
Pulses,294,47,54,39.560586391256656,98.16731644953579,7.4,Clay,1466
Cotton,128,56,130,24.935313550655195,51.86728266032202,7.7,Loamy,698
Cotton,171,27,38,18.30272484282478,67.94723042170617,4.1,Clay,1155
Wheat,234,99,117,18.008263727401744,69.39501288709164,7.9,Peaty,625
Pulses,196,45,107,25.401111310342877,81.08408552216986,4.5,Chalky,1318
Pulses,72,20,41,25.768239355514577,66.97480221259616,8.1,Loamy,705
Barley,180,59,23,25.89021294806205,84.34972933749282,7.1,Peaty,1218
Cotton,215,60,57,14.625405605222465,78.28996024745679,8.2,Loamy,1330
Soybean,73,24,49,22.582391813749084,99.64109746348309,5.6,Loamy,1217
Cotton,190,72,32,10.996609005647151,91.30194428692347,8.4,Peaty,1301
Sugarcane,218,54,62,14.219646289813834,35.55640601489082,8.5,Chalky,1296
Pulses,247,40,124,17.221865162240974,84.15473081123191,8.7,Peaty,956
Groundnut,67,29,23,11.185812631755622,32.43860417677075,7.4,Clay,1417
Wheat,201,56,66,12.11621361534818,70.03570945810547,9.0,Silty,349
Barley,226,47,100,20.293067524360374,60.765900972059995,4.2,Sandy,326
Cotton,123,68,130,19.22444111318739,94.67498845346769,5.1,Peaty,1183
Wheat,98,92,96,33.716599766067176,37.769268387796885,6.8,Loamy,1156
Barley,286,39,117,35.64385922996085,99.20656894155275,4.5,Sandy,334
Barley,127,25,96,27.85499542747638,23.237648278071017,6.1,Clay,889
Millets,193,98,28,22.657042020771893,74.0319638030966,5.2,Clay,1461
Rice,174,78,111,12.617948375365401,75.25451149944618,8.5,Clay,1231
Soybean,160,53,59,38.4426919983591,63.480142509040114,4.4,Sandy,1348
Millets,232,34,22,36.293555805343374,29.65962635609727,6.4,Clay,429
Millets,86,85,28,39.8403653049815,50.034915228533485,7.3,Loamy,910
Millets,94,70,61,11.054779220691412,56.87552219678942,5.2,Peaty,1135
Maize,299,35,81,20.220673766909957,92.92039227985629,4.1,Peaty,364
Maize,57,61,31,31.26279158157466,48.00502600391323,6.3,Silty,1226
Maize,58,51,136,16.27383678610802,55.67439351172218,5.1,Peaty,1076
Wheat,172,43,49,38.123385780474024,45.96448167963038,4.6,Peaty,1172
Wheat,136,69,53,14.774462706981344,82.63814959378803,4.7,Loamy,437
Pulses,174,41,49,28.886545823974938,53.17844905188909,6.6,Chalky,344
Sugarcane,222,49,40,21.795638884937595,32.182377433844465,4.7,Peaty,382
Millets,230,43,142,11.719698358968621,82.81203030841452,4.4,Clay,1001
Sugarcane,238,56,42,20.21763951160206,91.54481074712749,8.9,Chalky,421
Wheat,195,69,78,11.116890264486019,76.01954958152302,5.4,Chalky,808
Millets,146,74,81,37.01970452413728,53.372482020372004,7.7,Peaty,750
Soybean,298,22,58,26.20215025018227,83.49588585729273,7.6,Loamy,385
Soybean,141,59,52,13.500243647942856,36.696854399311356,8.6,Loamy,345
Barley,86,80,44,24.62887120904594,74.0243196416435,4.9,Clay,1377
Maize,147,22,111,17.11379358801436,49.506803792934605,5.0,Loamy,1415
Barley,221,78,66,35.815807675535765,80.11131400121977,5.0,Clay,1254
Wheat,247,68,63,22.23873009369649,84.14772921603416,5.8,Chalky,785
Barley,162,90,107,13.739371676905455,40.51822143416736,5.0,Sandy,542
Barley,214,89,150,32.01404423140408,27.28645732434081,7.9,Clay,1112
Rice,80,65,47,15.042804456972323,52.40883444592665,5.2,Clay,726
Pulses,76,46,76,21.298696834536294,38.60126291762258,7.6,Peaty,1171
Rice,268,27,113,35.25007508985685,99.4776866976654,7.7,Clay,345
Rice,136,42,84,13.745139556518136,76.66898315813876,8.5,Chalky,1424
Rice,154,82,91,36.7796619694178,48.58233867711428,7.0,Silty,1365
Pulses,245,56,92,32.6022278574371,25.348007537882502,4.7,Silty,1219
Cotton,180,45,90,32.35746205400186,67.55093191300367,6.4,Silty,877
Pulses,294,46,118,30.985139161062733,52.11136118376811,8.4,Sandy,1216
Maize,192,80,50,24.675297990269712,58.37566690576084,4.9,Chalky,1327
Cotton,198,24,100,14.220713016541954,84.6888982389115,8.2,Sandy,638
Rice,288,56,149,18.013868689833892,37.42102308903992,4.8,Chalky,992
Soybean,52,99,115,34.520215344634565,22.3870683993717,4.9,Chalky,884
Pulses,170,97,63,14.868907545647012,71.07488898585457,4.2,Sandy,348
Millets,175,48,37,11.038902591034148,49.997204189375125,7.4,Chalky,1333
Millets,101,87,68,25.852390568598356,23.25963302100126,4.2,Peaty,1308
Sugarcane,293,22,100,16.89840051537275,50.17307390048849,8.5,Clay,1042
Sugarcane,71,32,126,24.56887475087681,37.79330064735048,6.1,Chalky,536
Pulses,115,99,150,21.337009173156673,27.877209499202937,6.0,Loamy,775
Barley,271,40,90,29.26789359239721,85.03130814512912,6.7,Sandy,384
Millets,199,97,59,18.478116185735907,93.31819489445792,5.1,Clay,363
Sugarcane,287,48,70,26.55083944712608,42.804228791272145,8.3,Clay,773
Cotton,267,52,99,14.33778470061199,66.76991205717125,4.4,Clay,562
Cotton,211,96,125,20.69249045438606,54.97820025902335,8.3,Loamy,532
Groundnut,177,56,61,31.093571420908788,88.35459395688736,4.5,Silty,1474
Barley,203,24,30,11.51589933924319,70.09682935240316,5.2,Chalky,1115
Groundnut,224,57,27,11.75194376475839,45.36128870180255,6.9,Clay,771
Groundnut,277,86,145,15.669474057359373,31.605183295608086,4.6,Chalky,493
Soybean,269,23,131,13.93732649449081,44.365744716851374,4.7,Silty,768
Maize,167,30,118,28.30623959560431,67.73456096900313,7.7,Chalky,592
Groundnut,189,89,81,15.942612755763772,36.00986509076026,5.3,Sandy,560
Pulses,286,48,20,35.093161744796475,37.43280700693625,5.3,Loamy,592
Maize,67,43,84,20.25293485804639,40.75992865684491,6.8,Loamy,1334
Millets,290,82,24,17.85085049267328,70.81144555258747,8.5,Chalky,529
Wheat,299,48,86,35.540490359751054,82.20439739780937,5.3,Silty,975
Pulses,170,61,79,19.27335496342497,27.401252411707937,7.8,Clay,766
Maize,280,94,87,18.964414175435145,61.69271252404941,5.5,Chalky,567
Sugarcane,109,40,82,19.27918628161349,93.91427668397091,7.9,Sandy,1448
Barley,156,87,98,30.891700675932096,34.60351305550554,5.2,Peaty,356
Sugarcane,55,39,41,16.52920892206809,75.36672622595385,4.2,Chalky,662
Sugarcane,177,56,72,38.009179345341565,93.54036314835086,4.9,Loamy,1211
Maize,131,98,120,26.88888445236058,84.00377307036929,4.9,Sandy,1437
Rice,88,39,100,32.48494757142352,90.16782963828402,9.0,Sandy,576
Rice,61,41,80,32.27507249237483,42.370227663915955,6.9,Sandy,733
Groundnut,95,52,22,36.76233856906547,32.1133854814639,8.8,Loamy,1107
Barley,156,64,59,20.175701669132845,34.91874177587385,6.5,Loamy,645
Sugarcane,140,53,57,23.67429123980779,69.00478895707343,5.9,Sandy,888
Barley,78,79,33,17.497252822337224,75.9342304622428,5.7,Peaty,1032
Cotton,115,47,38,12.323696410035499,94.0492371403029,6.7,Chalky,1369
Rice,238,28,88,31.19267474264201,36.927573835827005,8.9,Peaty,1193
Pulses,203,23,36,18.29797508935824,28.511142355762846,7.4,Clay,935
Cotton,135,68,40,13.799885438577332,93.12268315716804,5.3,Sandy,1371
Maize,89,39,147,20.579902371423305,30.09144334538008,9.0,Silty,1208
Groundnut,78,64,108,20.476660594304235,87.96476974997655,5.3,Clay,1305
Sugarcane,100,50,43,17.73434364026787,32.412231466889054,8.2,Sandy,746
Rice,179,81,56,13.521596319496055,83.85055755754686,7.7,Sandy,726
Pulses,205,36,113,35.72202553227672,96.37069797231064,4.1,Loamy,445
Cotton,188,81,41,19.450001275895403,58.4140472021201,7.1,Chalky,1104
Cotton,75,66,103,26.5929252624358,90.37402261891916,4.1,Silty,1430
Rice,184,76,22,30.481464737835402,98.82667179284797,5.2,Sandy,1171
Millets,169,100,27,27.91028060344701,91.29150703289814,6.2,Clay,1152
Maize,80,40,79,15.244902636313515,73.87261151116967,4.2,Silty,1321
Pulses,188,74,97,28.779557203651866,26.767939139820065,4.2,Loamy,1369
Pulses,122,27,52,27.182695245546,73.12961353924736,4.5,Silty,1264
Millets,183,67,107,16.14449494448624,66.21083164338424,7.9,Silty,684
Maize,166,44,22,17.309766637816534,68.8173664904545,8.5,Silty,511
Rice,132,67,52,11.624830387345629,54.17952611821568,8.4,Chalky,1159
Pulses,194,61,98,31.362186641138102,32.726376645177496,8.6,Silty,794
Wheat,100,28,20,31.92346133251785,50.987633365920175,6.2,Peaty,552
Pulses,179,32,130,37.85964374014142,51.17278876353541,7.7,Sandy,389
Wheat,85,78,102,23.76849088114085,81.11365788794163,7.0,Sandy,789
Maize,261,78,22,27.916351832081244,97.24726088267677,5.9,Chalky,1092
Millets,207,70,126,19.545662512247496,83.58309480143633,7.5,Chalky,310
Rice,228,29,78,36.34152738428841,62.63175867748014,5.3,Loamy,649
Pulses,92,76,118,27.927464302733302,82.19188288046566,8.3,Sandy,1163
Groundnut,294,66,118,22.6170242051116,41.13044652922291,8.9,Loamy,872
Barley,61,22,117,14.280909557275296,56.21040192422788,8.6,Clay,1389
Maize,298,31,91,24.777117345713467,23.85301404536717,7.1,Chalky,1455
Rice,110,68,24,31.71041945604266,84.89608094795267,8.0,Sandy,889
Millets,214,69,143,11.537441402437345,79.9871654873626,5.9,Loamy,579
Maize,246,31,34,11.814837382818054,81.85739663220951,6.9,Loamy,1440
Rice,243,55,99,26.610130833305384,37.98660306843214,7.9,Sandy,690
Soybean,128,97,20,10.46610057062147,49.97368470073448,5.1,Loamy,729
Barley,55,52,98,37.42351125147924,71.47129237490708,4.4,Silty,964
Barley,208,40,146,15.0862277066391,65.43528162448632,7.3,Clay,1120
Rice,61,35,130,14.051056292899506,23.534227062145987,7.3,Chalky,930
Barley,201,75,63,10.03372678209832,39.42263845153314,7.1,Loamy,957
Barley,74,37,150,39.68450880975385,29.58877536643632,5.9,Chalky,319
Pulses,280,82,41,36.108674938411426,53.116227420799376,4.3,Sandy,1094
Wheat,220,27,131,20.34738057083677,71.46219602556259,5.0,Sandy,562
Sugarcane,51,20,28,17.728637898335514,35.521439518640946,5.4,Chalky,1154
Groundnut,160,38,92,23.5342651372468,80.5384047386429,8.3,Silty,334
Groundnut,279,22,31,24.24822686178136,52.411398922906685,4.7,Sandy,1178
Barley,104,71,83,35.938871081970255,83.36976879238665,5.3,Sandy,317
Maize,296,66,100,24.051530241835323,41.75091991619674,7.2,Peaty,1090
Barley,188,58,28,14.044149456619177,38.57225045464867,7.8,Sandy,1089
Rice,154,42,70,39.10840895379474,20.321381258808948,5.4,Loamy,1454
Maize,108,37,86,17.214273145306805,82.88049851209135,5.9,Chalky,1110
Sugarcane,73,44,149,15.006572446407334,76.49274255319371,7.8,Chalky,353
Wheat,298,51,142,21.186768066402156,52.78536926853231,6.8,Sandy,651
Cotton,294,93,31,10.349460086031055,65.50671173406914,6.1,Peaty,885
Barley,202,97,138,26.579459018431738,23.884897137843943,7.3,Clay,1072
Pulses,164,90,142,34.67701659023332,22.412821458814697,8.0,Loamy,962
Soybean,232,90,144,25.23810042450024,67.59257234739144,8.4,Loamy,716
Rice,286,99,116,30.123971298535906,27.7856089711402,4.0,Sandy,795
Barley,271,53,126,24.924765204506976,71.70948062604768,7.0,Peaty,543
Rice,78,63,39,16.4738165962623,93.08515567739634,6.3,Sandy,916
Soybean,156,85,116,13.408099878612354,83.68975756857427,6.9,Peaty,535
Soybean,225,80,126,35.615424221691214,39.30693096263554,6.4,Loamy,650
Barley,268,74,56,20.8489181186878,27.941619744398906,6.1,Silty,1112
Soybean,64,57,32,32.9918789740903,76.80990108945606,5.8,Peaty,1371
Cotton,171,64,103,32.76346715407174,29.23932111146433,7.3,Loamy,955
Groundnut,203,38,68,18.540882562768306,70.23542720606724,7.3,Clay,1373
Cotton,82,79,27,39.562127838933904,26.927781693326427,5.1,Loamy,705
Soybean,100,98,134,24.220940826232436,77.39776108192515,6.7,Peaty,559
Sugarcane,239,29,138,35.504951988164756,97.76617278182223,5.9,Silty,1053
Barley,154,78,131,31.738787185679914,68.26005498212325,4.7,Chalky,1280
Pulses,64,36,87,30.900298882820053,39.5450467865288,4.9,Silty,628
Maize,298,55,139,11.40813900391387,93.26311653914735,5.5,Silty,898
Sugarcane,272,22,129,10.310884472049809,24.971758125311343,8.0,Clay,1481
Pulses,65,84,63,27.98563203036302,84.72365289107425,8.7,Peaty,680
Barley,173,71,42,20.890897806571797,67.47210742599063,8.9,Chalky,1241
Wheat,298,80,73,39.36711340489349,86.93529897072966,6.9,Silty,769
Millets,126,41,58,15.14886141404059,39.16329863665793,7.6,Peaty,672
Cotton,90,27,105,36.16724803791424,50.699448097834264,6.9,Clay,525
Wheat,252,90,118,30.598402463106115,84.21666721896128,7.1,Silty,964
